dispnum,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,ongo2014,version
2,-9,7,1902,24,1,1903,6,1,0,0,208,178,7,3,0,1,1,0,5
3,2,5,1913,25,10,1913,4,3,0,0,177,177,8,3,0,1,1,0,5
4,15,5,1946,13,11,1946,5,3,2,-9,183,183,16,4,1,1,1,0,5
7,13,10,1951,26,1,1952,1,3,2,-9,106,106,17,4,1,1,1,0,5
8,-9,7,1856,14,3,1857,1,2,6,-9,257,227,20,5,1,1,1,0,5
9,29,12,1889,10,1,1890,6,1,0,0,13,13,7,3,0,1,1,0,5
11,11,3,1938,12,3,1938,4,1,0,0,2,2,14,4,0,1,1,0,5
12,11,3,1938,30,9,1938,4,1,0,0,204,204,16,4,1,1,5,0,5
13,6,4,1863,17,8,1863,1,2,-9,-9,134,134,15,4,0,3,1,0,5
14,15,10,1895,31,12,1895,4,3,0,0,78,78,7,3,0,1,1,0,5
15,-9,1,1839,23,3,1839,6,1,0,0,82,52,15,4,1,1,1,0,5
16,25,12,1897,5,2,1898,4,3,0,0,43,43,7,3,0,2,2,0,5
19,15,1,1848,23,3,1849,5,1,6,-9,434,434,20,5,1,1,3,0,5
20,18,11,1945,9,5,1946,3,1,0,0,173,173,7,3,0,1,1,0,5
21,21,11,1912,3,12,1912,5,3,0,0,13,13,10,3,0,1,2,0,5
22,9,6,1940,17,6,1940,1,2,-9,-9,9,9,16,4,1,1,1,0,5
23,-9,3,1939,18,10,1939,4,1,0,0,232,202,13,4,0,1,1,0,5
25,2,8,1831,2,2,1832,5,3,-9,-9,185,185,17,4,1,1,3,0,5
26,21,3,1948,25,7,1949,5,3,0,0,492,492,16,4,1,1,3,0,5
27,25,7,1961,28,10,1961,5,3,0,0,96,96,17,4,1,4,4,0,5
28,19,7,1961,5,9,1961,6,1,3,-9,49,49,17,4,1,1,1,0,5
30,6,10,1908,31,3,1909,3,1,-9,-9,177,177,17,4,1,1,1,0,5
31,30,5,1900,16,8,1900,1,2,6,-9,79,79,20,5,1,8,1,0,5
38,29,12,1837,5,1,1838,5,3,0,0,8,8,16,4,1,1,1,0,5
40,10,4,1928,18,11,1928,4,1,3,-9,223,223,17,4,1,1,1,0,5
41,27,5,1929,3,12,1929,8,4,6,-9,191,191,20,5,1,1,1,0,5
43,14,11,1897,6,3,1898,1,1,0,0,113,113,17,4,1,1,1,0,5
50,11,2,1953,19,1,1956,5,3,2,-9,1073,1073,17,4,1,3,2,0,5
51,24,6,1950,27,7,1953,5,1,6,-9,1130,1130,20,5,1,2,15,0,5
53,22,8,1956,23,8,1956,5,3,0,0,2,2,16,4,1,1,1,0,5
55,29,8,1923,27,9,1923,3,1,0,0,30,30,16,4,0,1,1,0,5
56,15,2,1897,15,8,1897,4,2,-9,-9,182,182,16,4,0,6,2,0,5
57,31,5,1853,30,3,1856,2,1,6,-9,1035,1035,20,5,1,1,5,0,5
61,28,1,1962,12,12,1962,4,1,0,0,319,319,16,4,1,1,2,0,5
64,5,4,1826,6,10,1826,4,1,0,0,185,185,7,3,0,1,1,0,5
65,1,7,1883,1,7,1883,4,1,0,0,1,1,1,2,0,1,1,0,5
67,25,7,1934,31,7,1934,5,3,0,0,7,7,7,3,0,3,1,0,5
68,-9,1,1900,9,2,1900,4,2,0,0,40,10,7,3,0,2,1,0,5
69,25,3,1914,29,11,1916,1,2,0,0,981,981,16,4,0,1,1,0,5
71,17,1,1850,27,4,1850,4,1,0,0,101,101,13,4,0,1,1,0,5
77,18,9,1898,4,11,1898,4,1,0,0,48,48,7,3,1,1,1,0,5
78,17,7,1847,17,1,1848,5,3,0,0,185,185,7,3,0,1,1,0,5
86,25,3,1907,23,3,1908,1,3,-9,-9,365,365,17,4,1,2,1,0,5
88,6,7,1870,25,2,1871,2,2,6,-9,235,235,20,5,1,4,1,0,5
89,21,9,1822,13,11,1823,1,2,6,-9,419,419,20,5,1,4,1,0,5
91,22,5,1887,22,5,1887,5,3,0,0,1,1,3,2,0,1,1,0,5
92,18,2,1964,29,2,1964,1,2,2,-9,12,12,17,4,1,1,1,0,5
95,-9,10,1909,-9,4,1910,4,1,0,0,212,153,7,3,0,1,1,0,5
96,26,4,1886,7,6,1886,4,3,0,0,43,43,13,4,0,5,1,0,5
100,13,12,1914,9,9,1915,4,1,0,0,271,271,16,4,0,1,1,0,5
104,-9,3,1880,-9,7,1880,6,1,0,0,153,93,7,3,1,1,1,0,5
106,23,4,1895,1,7,1895,4,3,0,0,70,70,7,3,0,3,1,0,5
108,7,4,1939,8,4,1939,2,2,-9,-9,2,2,14,4,0,1,1,0,5
109,-9,9,1904,-9,10,1904,5,3,0,0,61,2,10,3,0,1,1,0,5
111,22,11,1934,9,5,1936,1,2,6,-9,535,535,20,5,1,2,1,0,5
112,7,9,1860,29,9,1860,1,2,6,-9,23,23,20,5,1,1,2,0,5
113,18,9,1860,13,2,1861,1,2,6,-9,149,149,20,5,1,1,2,0,5
114,12,9,1911,18,10,1911,1,1,6,-9,37,37,20,5,1,1,1,0,5
