dispnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,sidea,revstate,revtype1,revtype2,fatality,fatalpre,hiact,hostlev,orig,version
2,"UKG",200,-9,7,1902,24,1,1903,0,1,1,-9,0,0,0,1,1,5
2,"USA",2,-9,7,1902,24,1,1903,1,1,1,-9,0,0,7,3,1,5
3,"YUG",345,2,5,1913,25,10,1913,0,0,0,-9,0,0,0,1,1,5
3,"AUH",300,2,5,1913,25,10,1913,1,1,2,-9,0,0,8,3,1,5
4,"UKG",200,15,5,1946,13,11,1946,0,0,0,-9,2,-9,7,3,1,5
4,"ALB",339,15,5,1946,13,11,1946,1,0,0,-9,0,0,16,4,1,5
7,"EGY",651,13,10,1951,26,1,1952,0,1,2,-9,2,-9,17,4,1,5
7,"UKG",200,13,10,1951,26,1,1952,1,0,0,-9,1,-9,17,4,1,5
8,"IRN",630,-9,7,1856,14,3,1857,0,0,0,-9,6,-9,20,5,1,5
8,"UKG",200,-9,7,1856,14,3,1857,1,1,2,-9,6,-9,20,5,1,5
9,"UKG",200,29,12,1889,10,1,1890,1,1,1,-9,0,0,7,3,1,5
9,"POR",235,29,12,1889,10,1,1890,0,0,0,-9,0,0,0,1,1,5
11,"AUS",305,11,3,1938,12,3,1938,0,0,0,-9,0,0,0,1,1,5
11,"GMY",255,11,3,1938,12,3,1938,1,1,1,-9,0,0,14,4,1,5
12,"BEL",211,7,9,1938,30,9,1938,0,0,0,-9,0,0,7,3,0,5
12,"CZE",315,11,3,1938,30,9,1938,0,0,0,-9,0,0,16,4,1,5
12,"UKG",200,26,8,1938,30,9,1938,0,0,0,-9,0,0,7,3,0,5
12,"USR",365,16,9,1938,30,9,1938,0,0,0,-9,0,0,7,3,0,5
12,"FRN",220,7,9,1938,30,9,1938,0,0,0,-9,0,0,10,3,0,5
12,"GMY",255,11,3,1938,30,9,1938,1,1,1,-9,0,0,16,4,1,5
13,"FRN",220,20,7,1863,20,7,1863,1,0,0,-9,0,0,1,2,0,5
13,"UKG",200,6,4,1863,17,8,1863,1,1,2,-9,-9,-9,15,4,1,5
13,"USA",2,20,7,1863,20,7,1863,1,0,0,-9,0,0,1,2,0,5
13,"JPN",740,6,4,1863,17,8,1863,0,0,0,-9,-9,-9,0,1,1,5
14,"TUR",640,15,10,1895,31,12,1895,0,0,0,-9,0,0,0,1,1,5
14,"UKG",200,15,10,1895,31,12,1895,1,1,2,-9,0,0,7,3,1,5
15,"UKG",200,-9,1,1839,23,3,1839,0,1,1,-9,0,0,15,4,1,5
15,"USA",2,-9,1,1839,23,3,1839,1,1,1,-9,0,0,7,3,1,5
16,"USR",365,25,12,1897,5,2,1898,0,0,0,-9,0,0,0,1,1,5
16,"JPN",740,25,12,1897,5,2,1898,1,1,2,-9,0,0,7,3,1,5
16,"UKG",200,25,12,1897,5,2,1898,1,1,2,-9,0,0,7,3,1,5
16,"KOR",730,25,12,1897,5,2,1898,0,0,0,-9,0,0,0,1,1,5
19,"MOD",332,1,3,1848,9,8,1848,0,0,0,-9,2,-9,20,5,0,5
19,"ITA",325,15,1,1848,23,3,1849,0,1,1,-9,6,-9,20,5,1,5
19,"TUS",337,1,3,1848,9,8,1848,0,0,0,-9,2,-9,20,5,0,5
19,"AUH",300,15,1,1848,23,3,1849,1,0,0,-9,6,-9,20,5,1,5
20,"IRN",630,18,11,1945,9,5,1946,0,0,0,-9,0,0,0,1,1,5
20,"USR",365,18,11,1945,9,5,1946,1,1,2,-9,0,0,7,3,1,5
21,"AUH",300,21,11,1912,3,12,1912,1,1,2,-9,0,0,10,3,1,5
21,"USR",365,21,11,1912,3,12,1912,0,1,2,-9,0,0,0,1,1,5
21,"YUG",345,21,11,1912,3,12,1912,0,1,1,-9,0,0,0,1,1,5
22,"USR",365,9,6,1940,17,6,1940,1,1,1,-9,-9,-9,16,4,1,5
22,"LAT",367,9,6,1940,17,6,1940,0,0,0,-9,-9,-9,16,4,1,5
23,"USR",365,-9,3,1939,18,10,1939,1,1,2,-9,0,0,13,4,1,5
23,"EST",366,-9,3,1939,18,10,1939,0,0,0,-9,0,0,0,1,1,5
25,"FRN",220,10,8,1831,15,8,1831,0,0,0,-9,-9,-9,16,4,0,5
25,"NTH",210,2,8,1831,2,2,1832,1,1,1,-9,-9,-9,17,4,1,5
25,"BEL",211,2,8,1831,2,2,1832,0,0,0,-9,-9,-9,17,4,1,5
25,"UKG",200,10,8,1831,2,2,1832,0,0,0,-9,0,0,7,3,0,5
26,"USA",2,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,5
26,"FRN",220,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,5
26,"USR",365,21,3,1948,25,7,1949,1,1,1,-9,0,0,16,4,1,5
26,"UKG",200,21,3,1948,25,7,1949,0,0,0,-9,0,0,13,4,1,5
27,"USA",2,25,7,1961,28,10,1961,1,0,0,-9,0,0,10,3,1,5
27,"UKG",200,13,8,1961,28,10,1961,1,0,0,-9,0,0,7,3,0,5
27,"GDR",265,13,8,1961,28,10,1961,0,1,2,-9,0,0,13,4,0,5
27,"POL",290,18,10,1961,28,10,1961,0,0,0,-9,0,0,7,3,0,5
27,"USR",365,25,7,1961,28,10,1961,0,1,2,-9,0,0,13,4,1,5
27,"GFR",260,13,8,1961,28,10,1961,1,0,0,-9,0,0,17,4,0,5
27,"FRN",220,13,8,1961,28,10,1961,1,0,0,-9,0,0,7,3,0,5
27,"CZE",315,18,10,1961,28,10,1961,0,0,0,-9,0,0,7,3,0,5
28,"FRN",220,19,7,1961,5,9,1961,0,0,0,-9,1,-9,17,4,1,5
28,"TUN",616,19,7,1961,5,9,1961,1,1,2,-9,3,-9,13,4,1,5
30,"YUG",345,6,10,1908,31,3,1909,1,1,1,-9,-9,-9,17,4,1,5
30,"AUH",300,6,10,1908,31,3,1909,0,0,0,-9,-9,-9,17,4,1,5
31,"UKG",200,30,5,1900,16,8,1900,1,1,2,-9,2,-9,20,5,1,5
31,"AUH",300,30,5,1900,16,8,1900,1,0,0,-9,1,-9,16,4,1,5
31,"FRN",220,30,5,1900,16,8,1900,1,0,0,-9,2,-9,20,5,1,5
31,"JPN",740,30,5,1900,16,8,1900,1,1,2,-9,5,-9,20,5,1,5
31,"CHN",710,30,5,1900,16,8,1900,0,0,0,-9,6,-9,20,5,1,5
31,"USA",2,30,5,1900,16,8,1900,1,0,0,-9,2,-9,20,5,1,5
31,"USR",365,30,5,1900,16,8,1900,1,1,2,-9,4,-9,20,5,1,5
31,"GMY",255,30,5,1900,16,8,1900,1,0,0,-9,2,-9,16,4,1,5
31,"ITA",325,30,5,1900,16,8,1900,1,0,0,-9,1,-9,16,4,1,5
38,"UKG",200,29,12,1837,5,1,1838,1,1,2,-9,0,0,16,4,1,5
38,"USA",2,29,12,1837,5,1,1838,0,0,0,-9,0,0,7,3,1,5
40,"CHN",710,10,4,1928,18,11,1928,0,0,0,-9,3,-9,17,4,1,5
40,"JPN",740,10,4,1928,18,11,1928,1,0,0,-9,1,-9,14,4,1,5
41,"CHN",710,27,5,1929,3,12,1929,1,0,0,-9,6,-9,20,5,1,5
41,"USR",365,27,5,1929,3,12,1929,0,0,0,-9,3,-9,20,5,1,5
43,"CHN",710,14,11,1897,6,3,1898,0,0,0,-9,0,0,17,4,1,5
43,"GMY",255,14,11,1897,6,3,1898,1,1,2,-9,0,0,17,4,1,5
50,"CHN",710,11,2,1953,19,1,1956,0,1,1,-9,2,-9,17,4,1,5
50,"ROK",732,13,2,1953,13,2,1953,1,1,1,-9,0,0,1,2,0,5
50,"TAW",713,11,2,1953,19,1,1956,1,1,1,-9,2,-9,17,4,1,5
50,"USA",2,11,2,1953,19,1,1956,1,1,1,-9,0,0,7,3,1,5
50,"USR",365,4,8,1954,8,8,1954,0,1,1,-9,0,0,7,3,0,5
51,"CAN",20,29,6,1950,27,7,1953,0,0,0,-9,4,-9,20,5,0,5
51,"ROK",732,24,6,1950,27,7,1953,0,1,1,-9,6,-9,20,5,1,5
51,"NTH",210,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,5
51,"PHI",840,16,9,1950,27,7,1953,0,0,0,-9,2,-9,20,5,0,5
51,"GRC",350,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,5
51,"THI",800,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,5
51,"TUR",640,18,10,1950,27,7,1953,0,0,0,-9,5,-9,20,5,0,5
51,"USA",2,27,6,1950,27,7,1953,0,0,0,-9,6,-9,20,5,0,5
51,"BEL",211,20,1,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,5
51,"FRN",220,1,1,1951,27,7,1953,0,0,0,-9,4,-9,20,5,0,5
51,"COL",100,6,6,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,5
51,"AUL",900,1,7,1950,27,7,1953,0,0,0,-9,4,-9,20,5,0,5
51,"UKG",200,28,6,1950,27,7,1953,0,0,0,-9,5,-9,20,5,0,5
51,"NEW",920,29,6,1950,27,7,1953,0,0,0,-9,0,0,20,5,0,5
51,"PRK",731,24,6,1950,27,7,1953,1,1,1,-9,6,-9,20,5,1,5
51,"CHN",710,30,9,1950,27,7,1953,1,0,0,-9,6,-9,20,5,0,5
51,"ETH",530,1,5,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,5
53,"USA",2,22,8,1956,23,8,1956,0,0,0,-9,0,0,7,3,1,5
53,"CHN",710,22,8,1956,23,8,1956,1,0,0,-9,0,0,16,4,1,5
55,"GRC",350,29,8,1923,27,9,1923,0,0,0,-9,0,0,0,1,1,5
55,"ITA",325,29,8,1923,27,9,1923,1,1,1,-9,0,0,16,4,1,5
56,"TUR",640,15,2,1897,15,8,1897,0,0,0,-9,-9,-9,0,1,1,5
56,"USR",365,15,2,1897,15,8,1897,1,1,2,-9,0,0,16,4,1,5
56,"GMY",255,15,2,1897,15,8,1897,1,1,2,-9,0,0,16,4,1,5
56,"GRC",350,15,2,1897,15,8,1897,0,0,0,-9,-9,-9,0,1,1,5
56,"FRN",220,15,2,1897,15,8,1897,1,1,2,-9,-9,-9,16,4,1,5
56,"AUH",300,15,2,1897,15,8,1897,1,1,2,-9,0,0,16,4,1,5
56,"ITA",325,15,2,1897,15,8,1897,1,1,2,-9,0,0,16,4,1,5
56,"UKG",200,15,2,1897,15,8,1897,1,1,2,-9,0,0,16,4,1,5
57,"UKG",200,13,6,1853,30,3,1856,0,0,0,-9,6,-9,20,5,0,5
57,"AUH",300,20,4,1854,30,3,1856,0,0,0,-9,0,0,7,3,0,5
57,"USR",365,31,5,1853,30,3,1856,1,1,2,-9,6,-9,20,5,1,5
57,"ITA",325,10,1,1855,30,3,1856,0,0,0,-9,6,-9,20,5,0,5
57,"TUR",640,31,5,1853,30,3,1856,0,0,0,-9,6,-9,20,5,1,5
57,"FRN",220,13,6,1853,30,3,1856,0,0,0,-9,6,-9,20,5,0,5
61,"CUB",40,28,1,1962,12,12,1962,0,0,0,-9,0,0,16,4,1,5
61,"USA",2,28,1,1962,12,12,1962,1,1,3,-9,0,0,13,4,1,5
61,"USR",365,28,1,1962,12,12,1962,0,0,0,-9,0,0,16,4,1,5
64,"TUR",640,5,4,1826,6,10,1826,0,0,0,-9,0,0,0,1,1,5
64,"USR",365,5,4,1826,6,10,1826,1,1,2,-9,0,0,7,3,1,5
65,"RUM",360,1,7,1883,1,7,1883,0,0,0,-9,0,0,0,1,1,5
65,"AUH",300,1,7,1883,1,7,1883,1,1,1,-9,0,0,1,2,1,5
67,"GMY",255,25,7,1934,31,7,1934,0,0,0,-9,0,0,0,1,1,5
67,"ITA",325,25,7,1934,31,7,1934,1,0,0,-9,0,0,7,3,1,5
67,"YUG",345,25,7,1934,31,7,1934,1,0,0,-9,0,0,7,3,1,5
67,"CZE",315,25,7,1934,31,7,1934,1,0,0,-9,0,0,7,3,1,5
