dispnum,incidnum,stday,stmon,styear,endday,endmon,endyear,duration,tbi,fatality,fatalpre,action,hostlev,numa,version
3551,3551010,18,10,1993,18,10,1993,1,-9,0,0,1,2,1,5
3551,3551002,21,11,1992,24,9,1996,1404,-9,0,0,13,4,9,5
3551,3551004,14,1,1993,-9,1,1993,-9,16,0,0,7,3,1,5
3551,3551001,16,7,1992,16,7,1992,1,129,0,0,7,3,13,5
3551,3551009,1,5,1993,1,11,1993,185,170,0,0,13,4,1,5
3551,3551003,-9,1,1993,-9,1,1993,-9,-9,0,0,7,3,3,5
3551,3551008,12,4,1993,12,4,1993,1,19,0,0,7,3,3,5
3551,3551006,3,2,1993,3,2,1993,1,25,0,0,15,4,1,5
3551,3551005,30,1,1993,30,1,1993,1,4,0,0,15,4,1,5
3551,3551007,28,2,1993,28,2,1993,1,43,0,0,1,2,1,5
3552,3552008,7,1,1993,9,1,1993,3,3,0,0,8,3,1,5
3552,3552011,12,1,1993,12,1,1993,1,1,0,0,8,3,3,5
3552,3552002,2,8,1992,2,8,1992,1,1,0,0,8,3,1,5
3552,3552031,24,7,1993,24,7,1993,1,26,-9,-9,16,4,1,5
3552,3552022,21,1,1993,21,1,1993,1,1,0,0,16,4,2,5
3552,3552018,17,1,1993,17,1,1993,1,0,-9,-9,17,4,1,5
3552,3552032,19,8,1993,19,8,1993,1,126,-9,-9,17,4,1,5
3552,3552007,6,1,1993,6,1,1993,1,1,0,0,1,2,4,5
3552,3552012,13,1,1993,13,1,1993,1,0,1,17,17,4,3,5
3552,3552027,19,4,1993,19,4,1993,1,71,-9,-9,16,4,1,5
3552,3552003,3,8,1992,24,8,1992,22,23,0,0,7,3,2,5
3552,3552021,18,1,1993,18,1,1993,1,3,-9,-9,16,4,3,5
3552,3552014,14,1,1993,14,1,1993,1,1,0,0,1,2,4,5
3552,3552025,9,4,1993,9,4,1993,1,9,-9,-9,17,4,1,5
3552,3552009,10,1,1993,10,1,1993,1,1,0,0,8,3,1,5
3552,3552001,27,7,1992,27,7,1992,1,6,0,0,7,3,1,5
3552,3552033,23,12,1993,23,12,1993,1,-9,0,0,17,4,1,5
3552,3552024,23,1,1993,23,1,1993,1,76,-9,-9,17,4,1,5
3552,3552006,4,1,1993,4,1,1993,1,2,0,0,7,3,1,5
3552,3552017,17,1,1993,21,1,1993,5,0,-9,-9,17,4,1,5
3552,3552016,16,1,1993,16,1,1993,1,1,0,0,1,2,1,5
3552,3552005,28,12,1992,28,12,1992,1,7,1,-9,16,4,1,5
3552,3552019,17,1,1993,19,1,1993,3,0,1,-9,16,4,3,5
3552,3552030,1,7,1993,4,7,1993,4,23,0,0,16,4,1,5
3552,3552020,17,1,1993,17,1,1993,1,1,1,1,17,4,1,5
3552,3552029,29,6,1993,29,6,1993,1,2,-9,-9,16,4,1,5
3552,3552004,26,8,1992,26,8,1992,1,2,0,0,7,3,3,5
3552,3552010,11,1,1993,11,1,1993,1,1,0,0,7,3,1,5
3552,3552013,13,1,1993,13,1,1993,1,1,0,0,1,2,1,5
3552,3552015,15,1,1993,15,1,1993,1,1,0,0,1,2,1,5
3552,3552023,22,1,1993,22,1,1993,1,1,-9,-9,16,4,1,5
3552,3552026,18,4,1993,18,4,1993,1,1,-9,-9,16,4,1,5
3552,3552028,29,6,1993,29,6,1993,1,0,0,0,7,3,1,5
3555,3555005,11,4,1992,11,4,1992,1,10,-9,-9,17,4,1,5
3555,3555001,20,1,1992,20,1,1992,1,3,-9,-9,17,4,1,5
3555,3555008,24,4,1992,24,4,1992,1,77,2,-9,17,4,1,5
3555,3555004,6,3,1992,8,4,1992,34,37,2,-9,17,4,1,5
3555,3555007,23,4,1992,23,4,1992,1,1,-9,-9,17,4,1,5
3555,3555009,10,7,1992,10,7,1992,1,-9,0,0,11,3,1,5
3555,3555006,21,4,1992,21,4,1992,1,2,1,1,16,4,1,5
3555,3555003,25,2,1992,29,2,1992,5,11,1,-9,17,4,1,5
3555,3555002,23,1,1992,23,1,1992,1,33,0,0,12,3,1,5
3556,3556002,26,10,1992,26,10,1992,1,-9,0,0,11,3,1,5
3556,3556001,20,10,1992,28,10,1992,9,6,1,-9,17,4,1,5
3557,3557003,20,4,1992,22,4,1992,3,12,-9,-9,17,4,1,5
3557,3557005,8,5,1992,8,5,1992,1,3,0,0,16,4,1,5
3557,3557004,2,5,1992,2,5,1992,1,6,-9,-9,17,4,1,5
3557,3557010,17,1,1993,18,1,1993,2,8,-9,-9,17,4,1,5
3557,3557002,14,4,1992,14,4,1992,1,6,-9,-9,17,4,1,5
3557,3557011,25,1,1993,25,1,1993,1,-9,0,0,8,3,1,5
3557,3557007,28,5,1992,28,5,1992,1,89,-9,-9,17,4,1,5
3557,3557006,11,5,1992,11,5,1992,1,17,-9,-9,17,4,1,5
3557,3557009,15,12,1992,15,12,1992,1,33,-9,-9,16,4,1,5
3557,3557001,6,4,1992,6,4,1992,1,8,0,0,7,3,1,5
3557,3557008,25,8,1992,25,8,1992,1,112,-9,-9,16,4,1,5
3561,3561012,13,3,1993,13,3,1993,1,3,-9,-9,16,4,1,5
3561,3561002,18,6,1992,18,6,1992,1,108,1,-9,16,4,1,5
3561,3561023,2,7,1993,2,7,1993,1,1,0,0,12,3,1,5
3561,3561010,20,2,1993,20,2,1993,1,0,-9,-9,16,4,1,5
3561,3561008,14,12,1992,14,12,1992,1,3,1,-9,16,4,1,5
3561,3561011,20,2,1993,20,2,1993,1,21,-9,-9,16,4,1,5
3561,3561022,1,7,1993,1,7,1993,1,1,-9,-9,17,4,1,5
3561,3561017,18,3,1993,18,3,1993,1,1,0,0,1,2,1,5
3561,3561024,3,7,1993,3,7,1993,1,115,-9,-9,16,4,1,5
3561,3561001,13,6,1992,13,6,1992,1,5,1,15,17,4,1,5
3561,3561026,26,10,1993,26,10,1993,1,-9,0,0,7,3,1,5
3561,3561006,4,12,1992,4,12,1992,1,2,0,0,16,4,1,5
3561,3561018,19,3,1993,19,3,1993,1,0,0,0,12,3,1,5
3561,3561014,16,3,1993,16,3,1993,1,0,0,0,8,3,1,5
3561,3561025,26,10,1993,26,10,1993,1,0,0,0,16,4,1,5
3561,3561013,16,3,1993,18,3,1993,3,0,0,0,10,3,1,5
3561,3561016,17,3,1993,17,3,1993,1,1,-9,-9,16,4,1,5
3561,3561007,6,12,1992,6,12,1992,1,8,1,0,17,4,1,5
3561,3561004,5,10,1992,5,10,1992,1,0,0,0,11,3,1,5
3561,3561020,1,4,1993,1,4,1993,1,1,-9,-9,17,4,1,5
3561,3561005,5,10,1992,5,10,1992,1,60,0,0,7,3,1,5
3561,3561003,4,10,1992,4,10,1992,1,1,0,0,1,2,1,5
3561,3561009,17,12,1992,17,12,1992,1,-9,0,0,8,3,1,5
3561,3561021,2,4,1993,2,4,1993,1,90,0,0,1,2,1,5
3561,3561019,19,3,1993,19,3,1993,1,13,1,1,16,4,1,5
3561,3561015,16,3,1993,16,3,1993,1,1,-9,-9,16,4,1,5
3564,3564025,18,8,1993,18,8,1993,1,-9,-9,-9,16,4,1,5
3564,3564022,17,4,1993,17,4,1993,1,0,0,0,12,3,1,5
3564,3564011,21,7,1992,22,7,1992,2,7,2,88,17,4,1,5
3564,3564017,-9,2,1993,-9,2,1993,-9,-9,-9,-9,17,4,1,5
3564,3564021,7,4,1993,7,4,1993,1,10,0,0,11,3,1,5
3564,3564027,3,9,1993,3,9,1993,1,0,0,0,8,3,1,5
3564,3564033,4,9,1993,4,9,1993,1,3,0,0,4,2,1,5
3564,3564014,23,11,1992,23,11,1992,1,30,1,2,17,4,1,5
3564,3564026,-9,9,1993,-9,9,1993,-9,-9,0,0,7,3,1,5
3564,3564029,3,9,1993,3,9,1993,1,0,0,0,8,3,1,5
3564,3564010,17,6,1992,17,6,1992,1,34,3,220,17,4,1,5
3564,3564005,4,5,1992,4,5,1992,1,4,2,43,17,4,1,5
3564,3564019,-9,4,1993,-9,4,1993,-9,-9,0,0,11,3,1,5
3564,3564028,3,9,1993,3,9,1993,1,0,0,0,11,3,1,5
3564,3564002,2,2,1992,23,2,1992,22,24,-9,-9,17,4,1,5
3564,3564003,26,2,1992,7,3,1992,11,57,3,200,17,4,1,5
3564,3564031,3,9,1993,3,9,1993,1,0,0,0,11,3,1,5
3564,3564030,3,9,1993,3,9,1993,1,0,0,0,7,3,1,5
3564,3564015,23,12,1992,23,12,1992,1,12,-9,-9,17,4,1,5
3564,3564016,4,1,1993,4,1,1993,1,-9,-9,-9,17,4,1,5
3564,3564018,-9,4,1993,-9,4,1993,-9,-9,0,0,7,3,1,5
3564,3564036,7,9,1993,7,9,1993,1,-9,-9,-9,16,4,1,5
3564,3564032,3,9,1993,-9,9,1993,-9,1,0,0,7,3,1,5
3564,3564012,28,7,1992,28,7,1992,1,11,2,32,17,4,1,5
3564,3564001,26,1,1992,26,1,1992,1,7,-9,-9,17,4,1,5
3564,3564020,5,4,1993,7,4,1993,3,2,-9,-9,17,4,1,5
3564,3564013,8,8,1992,8,8,1992,1,107,-9,-9,17,4,1,5
3564,3564006,8,5,1992,8,5,1992,1,2,-9,-9,17,4,1,5
3564,3564008,17,5,1992,21,5,1992,5,27,1,21,17,4,1,5
3564,3564009,13,6,1992,13,6,1992,1,4,2,65,17,4,1,5
3564,3564007,10,5,1992,10,5,1992,1,7,3,120,17,4,1,5
3564,3564004,23,4,1992,26,4,1992,4,11,-9,-9,17,4,1,5
3564,3564023,17,4,1993,17,4,1993,1,1,0,0,1,2,1,5
3568,3568007,16,1,1993,17,1,1993,2,4,0,0,11,3,1,5
3568,3568013,4,6,1993,5,6,1993,2,3,0,0,16,4,1,5
3568,3568016,10,11,1993,10,11,1993,1,10,0,0,17,4,1,5
3568,3568004,10,1,1993,13,1,1993,4,1,0,0,12,3,1,5
3568,3568012,-9,5,1993,-9,5,1993,-9,-9,0,0,11,3,1,5
3568,3568002,5,1,1993,5,1,1993,1,2,0,0,16,4,1,5
3568,3568006,12,1,1993,13,1,1993,2,4,0,0,1,2,3,5
3568,3568009,3,3,1993,4,3,1993,2,18,0,0,17,4,1,5
3568,3568015,18,10,1993,18,10,1993,1,23,0,0,17,4,1,5
3568,3568014,7,6,1993,7,6,1993,1,133,0,0,11,3,1,5
3568,3568018,2,1,1994,2,1,1994,1,-9,0,0,17,4,1,5
3568,3568008,20,1,1993,20,1,1993,1,42,0,0,11,3,1,5
3568,3568011,30,4,1993,30,4,1993,1,-9,0,0,17,4,1,5
3568,3568010,21,3,1993,21,3,1993,1,40,0,0,17,4,1,5
3568,3568003,7,1,1993,7,1,1993,1,3,0,0,1,2,1,5
3568,3568001,7,10,1992,7,10,1992,1,91,0,0,17,4,1,5
3568,3568005,11,1,1993,11,1,1993,1,1,0,0,1,2,1,5
3568,3568017,20,11,1993,20,11,1993,1,43,0,0,16,4,1,5
4001,4001018,7,1,1996,7,1,1996,1,12,0,0,12,3,1,5
4001,4001014,6,7,1995,6,7,1995,1,4,0,0,8,3,1,5
4001,4001017,7,1,1996,7,1,1996,1,0,0,0,16,4,1,5
4001,4001023,26,5,1996,26,5,1996,1,120,1,1,17,4,1,5
4001,4001013,15,6,1995,15,6,1995,1,21,0,0,7,3,1,5
4001,4001002,22,3,1994,22,3,1994,1,7,0,0,8,3,1,5
4001,4001007,14,5,1994,14,5,1994,1,156,0,0,8,3,1,5
