dispnum,incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3551,3551001,"USA",2,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"CAN",20,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"UKG",200,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"NTH",210,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"BEL",211,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"FRN",220,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"SPN",230,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"POR",235,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"GMY",255,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"ITA",325,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"YUG",345,16,7,1992,16,7,1992,0,0,2,0,0,1,0,0,5
3551,3551001,"GRC",350,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"DEN",390,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551001,"TUR",640,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5
3551,3551002,"USA",2,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"UKG",200,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"NTH",210,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"BEL",211,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"FRN",220,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"SPN",230,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"GMY",255,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"ITA",325,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551002,"YUG",345,21,11,1993,24,9,1996,0,0,2,0,0,1,0,0,5
3551,3551002,"GRC",350,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,5
3551,3551003,"USA",2,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5
3551,3551003,"UKG",200,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5
3551,3551003,"FRN",220,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5
3551,3551003,"YUG",345,-9,1,1993,-9,1,1993,0,0,0,0,0,1,0,0,5
3551,3551004,"UKG",200,14,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5
3551,3551004,"YUG",345,14,1,1993,-9,1,1993,0,0,0,0,0,1,0,0,5
3551,3551005,"YUG",345,30,1,1993,30,1,1993,1,0,0,0,15,4,2,0,5
3551,3551005,"RUM",360,30,1,1993,30,1,1993,0,1,0,0,0,1,0,0,5
3551,3551006,"YUG",345,3,2,1993,3,2,1993,0,0,0,0,0,1,0,0,5
3551,3551006,"RUM",360,3,2,1993,3,2,1993,1,1,0,0,15,4,2,0,5
3551,3551007,"USA",2,28,2,1993,28,2,1993,1,1,0,0,1,2,2,0,5
3551,3551007,"YUG",345,28,2,1993,28,2,1993,0,0,0,0,0,1,0,0,5
3551,3551008,"USA",2,12,4,1993,12,4,1993,1,1,0,0,7,3,2,0,5
3551,3551008,"NTH",210,12,4,1993,12,4,1993,1,1,0,0,7,3,2,0,5
3551,3551008,"FRN",220,12,4,1993,12,4,1993,1,1,0,0,7,3,2,0,5
3551,3551008,"YUG",345,12,4,1993,12,4,1993,0,0,0,0,0,1,0,0,5
3551,3551009,"USA",2,1,5,1993,1,11,1993,1,1,0,0,13,4,2,0,5
3551,3551009,"YUG",345,1,5,1993,1,11,1993,0,0,0,0,0,1,0,0,5
3551,3551010,"USA",2,18,10,1993,18,10,1993,1,1,0,0,1,2,2,0,5
3551,3551010,"YUG",345,18,10,1993,18,10,1993,0,0,0,0,0,1,0,0,5
3552,3552001,"USA",2,27,7,1992,27,7,1992,1,1,2,0,7,3,2,0,5
3552,3552001,"IRQ",645,27,7,1992,27,7,1992,0,0,2,0,0,1,0,1,5
3552,3552002,"USA",2,28,12,1992,28,12,1992,1,1,2,0,16,4,2,0,5
