"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
1769,1988,"Average",1.7,5216,4,3,0,8,5.102,1096600,"CROZET"
1818,1991,"Average",2,5160,6,4,1,11,453.893,2978600,"CROZET"
2004,NA,"Average",1,1512,3,2,1,9,42.59,677800,"CROZET"
2006,NA,"Average",1,2019,3,3,0,10,5,453200,"CROZET"
2004,NA,"Average",1.5,1950,3,3,0,8,5.5,389200,"CROZET"
1995,NA,"Average",2.3,2579,3,2,1,8,7.5,465000,"CROZET"
1900,NA,"Very Poor",2,1530,4,1,0,6,18.5,263200,"CROZET"
1960,NA,"Average",1,800,2,1,0,4,1.5,149500,"CROZET"
1966,NA,"Average",1,975,2,1,0,4,0.96,161000,"CROZET"
1972,NA,"Average",1,960,2,1,0,4,40,482800,"CROZET"
1998,NA,"Average",1,1118,1,2,0,6,30,493600,"CROZET"
2008,NA,"Average",1.5,1600,2,2,1,4,22.143,553500,"CROZET"
1982,NA,"Average",1.3,2004,4,2,0,6,5.627,254900,"CROZET"
1900,NA,"Very Poor",1,1104,3,1,0,5,5.04,94800,"CROZET"
1996,NA,"Average",1.3,887,2,1,0,3,12.3,451000,"CROZET"
1940,NA,"Fair",1,618,1,1,0,3,3.67,140100,"CROZET"
1936,1992,"Average",1,864,2,1,0,4,211,1219900,"CROZET"
1994,NA,"Average",1.5,2126,4,4,1,7,34.8,796200,"CROZET"
2006,NA,"Average",1,1916,3,2,1,10,14.85,511200,"CROZET"
1895,NA,"Average",1.3,1218,3,1,0,5,6,172300,"CROZET"
1986,NA,"Average",1,1152,3,2,0,5,2,186200,"CROZET"
1940,NA,"Very Poor",1,1107,3,0,0,5,96,833700,"CROZET"
1960,NA,"Poor",1,1272,4,1,0,8,2.045,189700,"CROZET"
1950,NA,"Fair",1,884,3,1,0,5,1.892,115500,"CROZET"
1987,NA,"Average",1,1568,3,2,0,8,13.28,416500,"CROZET"
1983,NA,"Average",1,1184,1,1,0,3,23.12,224800,"CROZET"
1986,NA,"Average",1.3,1184,2,2,0,4,229.84,285900,"CROZET"
2003,NA,"Average",1,1848,3,2,0,7,61.189,641100,"CROZET"
1904,NA,"Average",1.9,1335,3,1,0,6,288.139,1491700,"CROZET"
1940,1987,"Fair",1.5,812,2,0,0,6,0.25,60000,"CROZET"
2017,NA,"Average",1.75,2993,2,3,0,6,5.95,623400,"CROZET"
1801,1984,"Average",1.7,1050,2,2,0,4,15,391600,"CROZET"
1977,NA,"Average",2,1428,3,2,0,4,5.821,241500,"CROZET"
1920,2016,"Average",2,1716,3,2,0,7,119.93,306800,"CROZET"
1920,NA,"Very Poor",1.3,1598,2,1,0,5,17.45,219100,"CROZET"
1886,NA,"Fair",1.9,1861,4,1,0,6,3.88,179500,"CROZET"
1932,2018,"Excellent",1.3,3315,4,4,0,10,5,564800,"CROZET"
1960,NA,"Average",1,1152,2,1,0,4,5,212800,"CROZET"
1995,NA,"Average",1.5,3429,3,2,1,7,28.423,854900,"CROZET"
1950,NA,"Very Poor",2,904,3,0,0,4,228.14,173600,"CROZET"
1856,NA,"Average",2,4768,2,1,1,6,83.02,1086600,"CROZET"
1966,NA,"Average",1,1544,3,2,1,6,120.28,363500,"CROZET"
1966,NA,"Average",1,1163,3,1,0,6,10.756,368500,"EARLYSVILLE"
1810,1991,"Average",1.9,4324,3,3,0,8,56,1194100,"EARLYSVILLE"
1910,NA,"Average",1.7,1332,3,1,0,4,38.99,731600,"EARLYSVILLE"
1972,NA,"Average",1,768,2,1,0,4,28.59,400300,"EARLYSVILLE"
1972,NA,"Average",1,1248,2,1,0,4,1.76,218000,"EARLYSVILLE"
1972,NA,"Average",1,1420,3,2,0,5,3.95,275500,"EARLYSVILLE"
1977,1999,"Average",1,3604,4,3,0,8,25.04,1127800,"EARLYSVILLE"
1999,NA,"Good",1.9,3084,3,3,1,7,16.34,1192800,"EARLYSVILLE"
1992,NA,"Average",1,1648,3,2,0,6,7.28,420900,"EARLYSVILLE"
1986,NA,"Average",1,1352,3,2,0,6,1.859,271100,"EARLYSVILLE"
2005,NA,"Average",1.5,4164,4,4,0,10,143.51,928300,"EARLYSVILLE"
1942,NA,"Average",1,1345,2,1,0,5,2.097,172200,"EARLYSVILLE"
1950,1970,"Average",1,988,2,1,0,4,23.5,404300,"EARLYSVILLE"
2006,NA,"Good",2,4662,6,5,1,10,3.5,588900,"EARLYSVILLE"
2006,NA,"Average",1,2250,3,2,1,7,2.1,358200,"EARLYSVILLE"
1944,1991,"Fair",1.3,928,2,1,0,4,2,114500,"EARLYSVILLE"
2008,NA,"Average",1.9,1996,3,2,1,7,4,395900,"EARLYSVILLE"
2013,NA,"Average",1,2014,4,2,0,7,2.31,234200,"EARLYSVILLE"
1952,1992,"Average",1,1593,3,1,0,5,3.23,384100,"EARLYSVILLE"
1975,1985,"Average",1.5,1777,3,2,0,5,13.878,404600,"EARLYSVILLE"
1985,NA,"Average",1.5,1710,2,2,0,4,10,393600,"EARLYSVILLE"
2005,NA,"Average",1.5,4730,3,2,3,8,37.5,1174600,"EARLYSVILLE"
1913,2020,"Average",2,3132,4,1,0,8,71.2,1055500,"EARLYSVILLE"
1985,NA,"Average",1.3,1652,3,1,1,6,3.27,277800,"EARLYSVILLE"
2015,NA,"Average",2,2184,4,3,0,8,21.21,582000,"EARLYSVILLE"
1979,NA,"Fair",1,1508,3,2,0,7,7.284,323700,"EARLYSVILLE"
1994,NA,"Fair",0,924,2,2,0,4,5.771,152900,"EARLYSVILLE"
1991,2018,"Good",2,2144,3,2,1,6,3.409,386000,"EARLYSVILLE"
2011,NA,"Average",1.5,972,3,3,0,6,12.102,436900,"EARLYSVILLE"
2018,NA,"Average",1.25,2314,3,3,0,7,2,512200,"EARLYSVILLE"
1977,NA,"Average",1,1188,3,1,0,5,2.006,253000,"EARLYSVILLE"
1950,NA,"Average",1,874,2,1,0,5,3.66,202300,"EARLYSVILLE"
1965,NA,"Average",1,1380,3,1,0,5,0.92,210600,"EARLYSVILLE"
1975,NA,"Average",1,1479,3,1,1,5,1,258200,"EARLYSVILLE"
1956,NA,"Fair",1,896,1,1,0,3,13.52,328200,"EARLYSVILLE"
1978,NA,"Average",1,1318,3,2,0,6,10,384400,"EARLYSVILLE"
1962,2002,"Average",1,1889,3,2,0,6,2,280500,"EARLYSVILLE"
1967,1991,"Average",1,972,3,1,0,5,66.23,807500,"EARLYSVILLE"
1969,1999,"Average",1,1410,2,1,0,4,1.81,204400,"EARLYSVILLE"
1983,NA,"Average",1,1344,3,2,0,5,2,209400,"EARLYSVILLE"
1955,NA,"Average",1,1092,3,1,0,6,2,223300,"EARLYSVILLE"
1900,NA,"Very Poor",2,728,2,0,0,4,70,1255300,"EARLYSVILLE"
1900,2019,"Good",2,2360,2,1,0,5,60.58,1207000,"EARLYSVILLE"
1981,NA,"Average",1,1885,3,2,0,7,16.423,436500,"EARLYSVILLE"
1957,NA,"Average",1,1097,4,2,0,8,2.05,273000,"EARLYSVILLE"
1969,NA,"Good",1,1743,2,3,0,6,3.59,425500,"EARLYSVILLE"
1987,NA,"Fair",1.9,2012,4,3,1,10,6.88,402500,"EARLYSVILLE"
2016,NA,"Average",1,1512,3,2,0,6,2.15,283200,"EARLYSVILLE"
1949,1991,"Average",1,912,2,1,0,4,8.621,255900,"EARLYSVILLE"
1967,NA,"Average",1,1357,2,1,0,5,2.163,271700,"EARLYSVILLE"
1961,NA,"Average",1,950,3,1,0,6,2,192000,"EARLYSVILLE"
1989,NA,"Average",2,2270,4,2,1,7,2.207,328500,"EARLYSVILLE"
1988,NA,"Average",1.5,1925,3,3,0,7,0,400900,"EARLYSVILLE"
1994,NA,"Good",1,1004,3,1,1,5,6.081,271800,"EARLYSVILLE"
1903,2000,"Good",1.9,4496,5,3,0,10,258.534,2724300,"EARLYSVILLE"
1968,NA,"Average",1,2186,3,2,1,8,9.45,412800,"EARLYSVILLE"
1948,NA,"Fair",1,864,3,1,0,5,1,136000,"EARLYSVILLE"
1961,NA,"Fair",1,965,2,1,0,4,1.665,140600,"EARLYSVILLE"
1998,NA,"Good",1,2100,3,3,1,7,30.88,686700,"EARLYSVILLE"
1979,1993,"Average",1,3080,4,2,0,8,19.5,654700,"EARLYSVILLE"
1987,NA,"Good",1.5,1982,3,2,0,8,2.491,344000,"EARLYSVILLE"
1989,NA,"Average",1.7,1800,3,2,1,7,4.159,306600,"EARLYSVILLE"
1992,NA,"Good",1.5,1882,2,2,1,6,8.801,375200,"EARLYSVILLE"
1983,NA,"Good",1,912,3,2,0,7,2.163,245900,"EARLYSVILLE"
1978,NA,"Average",1.7,2760,3,2,0,7,2.011,283500,"EARLYSVILLE"
1986,NA,"Average",1,1032,3,1,1,6,3.389,203100,"EARLYSVILLE"
1754,1987,"Average",1.5,3236,4,3,0,8,2.05,400800,"EARLYSVILLE"
1998,NA,"Average",1.5,3237,4,3,0,10,139.03,917700,"CROZET"
1974,NA,"Average",1,1566,7,2,0,12,1,305300,"CROZET"
1986,NA,"Average",1,2722,5,3,1,8,1,476300,"CROZET"
1990,NA,"Average",1.5,1890,3,2,0,6,5,303100,"CROZET"
1995,NA,"Average",1.7,2727,3,2,1,10,110.093,1132300,"CROZET"
1971,1996,"Good",1.7,1824,2,1,1,6,15.08,803400,"CROZET"
1800,2005,"Good",2,2264,4,3,0,6,3,382000,"CROZET"
1949,2008,"Good",1,1274,2,2,0,6,159.346,1155500,"CROZET"
1998,NA,"Average",1,5846,8,4,1,15,11.62,1968500,"CROZET"
2012,NA,"Average",1,2022,4,2,1,6,0,309200,"CROZET"
1769,1979,"Average",2,2850,4,2,0,8,4,636700,"CROZET"
1978,NA,"Average",1,1539,5,2,0,9,21,426400,"CROZET"
1920,2006,"Excellent",2,2748,4,3,1,8,15.495,712000,"CROZET"
1999,NA,"Average",1.3,2209,3,2,1,7,7.05,385200,"CROZET"
1998,NA,"Good",1,1244,1,1,0,3,50.648,649600,"CROZET"
1930,NA,"Poor",1,840,2,1,0,4,10.1,136100,"CROZET"
1929,NA,"Poor",1,860,2,1,0,4,4,101000,"CROZET"
1977,NA,"Average",1,960,3,1,0,5,2.001,123600,"CROZET"
1950,NA,"Poor",1,1480,3,1,0,5,4.091,114800,"CROZET"
1920,NA,"Very Poor",1,944,2,1,0,4,32.94,254000,"CROZET"
1800,1995,"Average",1,1751,1,1,0,4,7.754,168600,"CROZET"
1950,NA,"Poor",1,824,2,1,0,4,120,699000,"CROZET"
1980,1997,"Average",1,2333,4,3,0,7,5.11,498600,"CROZET"
1983,NA,"Average",1.3,944,3,1,0,6,2.029,116600,"CROZET"
1962,NA,"Fair",1,864,3,1,0,5,0.62,56800,"CROZET"
1944,NA,"Average",1.3,1925,4,2,0,7,8,257000,"CROZET"
1965,NA,"Fair",1,775,2,1,0,4,1.646,138200,"CROZET"
1950,1999,"Average",1.5,1350,3,1,0,6,1.141,190600,"CROZET"
1956,NA,"Average",1,1579,3,2,0,6,2.721,195100,"CROZET"
2021,NA,"Average",1,2125,3,3,0,6,2,52500,"CROZET"
1956,NA,"Fair",1,1128,2,1,0,5,0.565,130200,"CROZET"
1960,2019,"Excellent",1,1536,3,2,0,5,0.5,221200,"CROZET"
1958,NA,"Average",1,912,2,1,0,5,0.55,138700,"CROZET"
1975,2019,"Excellent",1,1766,3,2,1,5,2.001,344100,"CROZET"
2017,NA,"Average",1.5,2232,3,2,0,6,3.356,443000,"CROZET"
1940,NA,"Very Poor",1.7,1336,3,1,0,6,5.11,65300,"CROZET"
1961,NA,"Very Poor",1,820,2,1,0,4,3.079,60100,"CROZET"
1966,NA,"Fair",1,1416,3,1,0,5,2.84,197700,"CROZET"
2002,NA,"Average",1,1774,2,3,0,5,5.035,188800,"CROZET"
1972,NA,"Average",1,2959,4,3,0,9,2,321900,"CROZET"
1968,NA,"Average",1,1608,3,2,1,6,4.65,298600,"CROZET"
1963,NA,"Average",1,1038,3,1,0,5,0.59,131100,"CROZET"
1910,NA,"Poor",1.9,2144,4,1,0,7,17.1,239500,"CROZET"
2008,NA,"Average",1,816,3,2,0,5,1.959,224400,"CROZET"
1900,NA,"Average",1.9,1600,4,1,0,7,2.066,128300,"CROZET"
1975,1982,"Fair",1,1521,3,1,0,4,2.03,174300,"CROZET"
1965,NA,"Fair",1,912,2,1,0,4,0.51,97900,"CROZET"
1910,NA,"Very Poor",2.9,4209,6,1,0,7,1,33700,"CROZET"
2012,NA,"Average",1,1367,3,2,0,6,4.6,137800,"CROZET"
1910,NA,"Fair",1,2233,2,2,0,5,2.29,225100,"CROZET"
2012,NA,"Fair",1.5,2040,3,3,0,8,4.68,262900,"CROZET"
2004,NA,"Good",1.7,5453,3,4,1,9,44.82,1699100,"CROZET"
1950,2015,"Excellent",1,1260,3,2,0,4,1.52,244000,"CROZET"
1970,NA,"Average",1,759,3,1,0,5,0.523,70100,"CROZET"
1984,NA,"Average",1,1046,3,2,0,5,1.217,79300,"CROZET"
2017,NA,"Average",1,1236,1,1,1,4,24.256,329700,"CROZET"
2003,NA,"Average",1,1200,2,1,0,4,2.231,249400,"CROZET"
1936,1996,"Average",1.3,2656,4,2,1,8,2,304900,"CROZET"
1966,NA,"Poor",1,1306,3,1,0,5,1.054,55000,"CROZET"
2006,NA,"Good",1,786,3,2,0,3,5,184300,"CROZET"
1990,1997,"Average",1,1640,1,1,0,4,33.967,415200,"CROZET"
1989,NA,"Average",1.7,2468,3,4,0,7,18.17,470200,"CROZET"
1966,NA,"Very Poor",2,1536,2,1,0,5,0.69,63500,"CROZET"
2007,NA,"Average",1,1792,3,2,0,6,10.514,266700,"CROZET"
1989,NA,"Average",1,1104,2,1,0,4,3,86800,"CROZET"
1940,NA,"Poor",1.3,1731,5,1,0,8,11.24,168700,"CROZET"
2006,NA,"Fair",1,864,2,1,0,4,14.965,163700,"CROZET"
1920,NA,"Very Poor",2,1134,3,1,0,5,4,89400,"CROZET"
